,IP,Reliability,Risk,Type,Country,Locale,Coords
9099,72.20.57.122,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9100,72.20.57.115,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9101,72.20.57.49,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9102,72.20.57.48,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9103,72.20.57.130,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9104,72.20.57.131,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9105,72.20.57.128,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9106,72.20.57.129,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9107,72.20.57.125,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9108,72.20.57.143,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9109,72.20.57.136,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9110,72.20.57.137,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9111,72.20.57.132,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9112,72.20.57.133,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9113,72.20.57.138,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9114,72.20.57.139,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9115,72.20.57.140,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9116,72.20.57.141,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9117,72.20.57.134,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9118,72.20.57.135,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9119,72.20.57.40,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9120,72.20.57.39,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9121,72.20.57.44,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9122,72.20.57.42,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9123,72.20.57.43,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9124,72.20.57.20,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9125,72.20.57.47,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9126,72.20.57.46,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9127,72.20.57.45,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9128,72.20.57.21,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9129,72.20.57.144,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9130,72.20.57.145,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9131,72.20.57.146,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9132,72.20.57.147,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9133,72.20.57.149,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
